DroneReached,DroneLost,DroneDead,TimeReached,Collisions,Sigma
---COLLISION RUN 1---
4,0,3,27.19435,28,10.68836
3,0,4,31.31584,21,10.5986
4,0,3,23.55593,37,13.56849
5,0,2,24.45036,31,13.40359
5,0,2,23.62048,42,13.22874
5,0,2,23.98612,22,13.00179
4,0,2,23.5407,31,13.33018
4,0,3,27.81726,28,12.84509
5,0,2,23.65171,44,11.61986
5,0,2,23.73047,55,14.08635
6,0,2,20.49509,34,13.28946
5,0,2,22.935,19,12.23885
5,0,1,21.94267,41,13.45531
5,0,2,24.03393,37,12.32357
4,0,3,25.7105,81,14.17605
5,0,2,24.4134,70,12.23253
4,0,3,23.67104,25,14.29791
4,0,3,28.52125,20,13.26784
5,0,2,26.08581,38,12.83306
4,0,3,23.5793,59,13.04922
4,0,3,22.35372,35,14.74716
5,0,2,23.69808,97,11.24716
5,0,2,23.67296,28,13.5667
5,0,2,25.27685,25,11.5645
5,0,2,24.3965,25,11.32539
5,0,2,23.45321,36,11.97998
5,0,2,25.73483,22,10.79257
6,0,1,22.49931,35,10.721
--------------------------
Using Delta * 10 for P(x)
--------------------------
5,0,2,22.1398,34,14.96114
5,0,3,23.51791,32,12.29297
5,0,2,24.16465,53,11.38043
4,0,3,25.26419,37,13.70428
5,0,2,23.34149,50,13.73609
5,0,2,25.1243,77,13.56898
5,0,2,23.11569,25,14.38069
4,0,4,23.46678,64,15.28112
5,0,2,21.73957,39,14.24832
5,0,2,23.01861,20,13.12407
5,0,2,24.30651,56,12.06885
5,0,2,23.88149,24,13.68725
4,0,3,22.95123,51,12.42332
4,0,3,22.9126,44,14.14087
4,0,3,27.55868,29,12.01655
4,0,3,27.08492,38,13.37987
4,0,3,24.83956,50,14.55476
5,0,2,22.69827,22,12.45693
4,0,3,23.73941,49,13.93993
4,0,3,22.24085,35,16.39558
5,0,2,23.94713,56,12.85428
5,0,2,23.91541,40,12.87328
4,0,3,21.61262,59,15.26225
4,0,3,25.14401,37,15.54033
4,0,3,26.38519,71,13.25433
5,0,2,24.09253,50,9.352552
4,0,3,22.77667,63,14.49395
5,0,2,21.26534,32,15.61503
4,0,3,22.61183,146,15.91696
5,0,2,22.96431,30,13.09765
5,0,2,22.19248,48,15.54084
5,0,2,24.11965,54,14.95059
5,0,2,27.74612,56,12.86944
5,0,2,22.22248,39,12.41701
6,0,1,21.82236,33,12.53352
5,0,2,23.0579,31,13.01697
5,0,2,24.72738,45,12.37766
5,0,3,22.42372,40,13.90954
5,0,2,21.94174,31,13.05178
5,0,2,26.36707,38,9.898996
5,0,2,23.77432,39,14.27452
5,0,1,23.55772,16,11.59263
5,0,2,14.01868,29,18.29298
5,0,2,17.11966,36,17.29796
6,0,1,23.11036,59,12.13675
5,0,1,23.54719,40,13.25786
3,0,3,27.05138,37,13.63054
5,0,2,22.2628,23,13.24935
5,0,2,22.53128,49,10.35018
5,0,2,23.16297,44,13.91286
5,0,2,19.40021,36,14.17919
5,0,2,22.90701,64,13.53203
5,0,2,21.37535,72,12.24329
5,0,2,21.13583,24,14.34627
4,0,3,22.36862,67,16.54218
4,0,3,23.40517,49,14.43583
4,0,3,22.86649,68,11.91817
5,0,2,27.14694,74,12.40251
6,0,1,23.04609,23,13.07136
5,0,2,26.56657,30,10.47646
5,0,2,20.82847,68,14.52542
5,0,2,22.01151,61,13.23122
5,0,2,22.00824,115,13.26543
5,0,2,20.92539,61,15.64989
3,0,4,21.68807,18,15.40915
5,0,2,22.87002,60,12.01158
4,0,3,22.5637,74,13.33364
4,0,2,24.00808,65,12.5924
4,0,3,25.91752,58,12.0292
4,0,3,22.26285,34,15.50228
3,0,4,25.96113,45,13.0716
4,0,3,21.60698,49,15.64599
4,0,3,22.741,27,15.32639
5,0,2,25.3604,29,11.5266
5,0,2,22.04886,88,14.9362
4,0,3,24.41168,148,14.29378
4,0,3,22.68319,72,14.97783
4,0,2,22.06672,31,13.75099
5,0,2,20.29997,30,14.95643
4,0,3,26.11451,51,12.68123
4,0,3,25.23465,33,12.84733
5,0,2,21.32914,59,14.56347
5,0,2,23.71502,39,14.83007
4,0,3,21.51665,45,15.15491
4,0,3,22.27829,43,14.22892
5,0,2,20.87482,57,13.53652
5,0,2,23.79953,30,14.56788
4,0,3,27.87531,66,12.36611
4,0,3,22.99464,19,15.6421
4,0,3,26.25995,37,13.48591
4,0,3,21.98967,47,13.09516
5,0,2,19.88512,114,15.24165
5,0,2,22.73587,51,15.14754
5,0,2,24.06944,55,12.88841
5,0,2,26.51234,26,10.88458
5,0,2,20.36181,136,13.49547
5,0,2,21.68059,31,15.43779
5,0,3,21.76678,62,14.20236
5,0,2,21.25797,37,13.97101
5,0,1,23.00111,105,12.74785
5,0,2,21.80726,33,15.88226
5,0,2,20.69052,43,14.66914
5,0,2,19.63734,72,14.19065
5,0,2,20.59407,22,13.44341
5,0,2,21.83898,27,11.11382
--------------------------
4,0,3,24.22545,36,14.60947
4,0,3,19.01482,38,16.84336
5,0,2,23.18164,41,12.67544
5,0,2,21.92616,24,13.51713
5,0,2,23.66291,27,14.6619
4,0,3,26.76901,38,13.03035
4,0,3,25.65996,154,13.27617
5,0,2,21.72544,29,14.03509
5,0,2,23.41929,71,15.30777
4,0,3,23.22603,50,13.11379
