av,al,co,se,ta,tcost
12.5,1.5,16,16.5,0.5,0.3841844
12.5,1.5,16.5,16.5,0.5,0.3216271
12.5,1.5,16.5,16.5,0,0.3674801
12.5,1.5,16.5,16,0,0.3208702
13,1.5,16.5,16,0,0.3131115
13,1.5,16,16,0,0.3203896
13,1.5,15.5,16,0,0.3208814
13,1.5,15,16,0,0.3019589
13,1.5,15,15.5,0,0.3195996
12.5,1.5,15,15.5,0,0.3190655
12,1.5,15,15.5,0,0.3754319
12,1.5,15,15,0,0.3236273
12.5,1.5,15,15,0,0.2483177
12.5,1.5,15,15,0.5,0.3073664
12.5,1.5,15.5,15,0.5,0.2943042
12.5,1.5,15.5,14.5,0.5,0.3782476
12.5,1.5,15.5,14,0.5,0.2491009
12,1.5,15.5,14,0.5,0.3213305
12,1.5,15.5,14,1,0.3647581
12,2,15.5,14,1,0.3791255
12,2,15.5,14.5,1,0.3223314
12,2,15.5,14.5,1.5,0.2958006
12.5,2,15.5,14.5,1.5,0.3126668
12.5,1.5,15.5,14.5,1.5,0.3087287
13,1.5,15.5,14.5,1.5,0.380296
13,1.5,15,14.5,1.5,0.3240446
13,1.5,15,15,1.5,0.3129944
13,1.5,15,14.5,1.5,0.3054219
13,1.5,15,14.5,1,0.3167028
12.5,1.5,15,14.5,1,0.3121066
12.5,1,15,14.5,1,0.3688465
12.5,1,14.5,14.5,1,0.3179266
12.5,1,14.5,15,1,0.3743357
12,1,14.5,15,1,0.3738592
12,1,14,15,1,0.3171889
12,1,14,15,1.5,0.259562
12,1,14,15.5,1.5,0.3195813
12,1,13.5,15.5,1.5,0.3168893
12,1,13.5,15.5,1,0.3107964
12,0.5,13.5,15.5,1,0.3742545
12.5,0.5,13.5,15.5,1,0.3697636
12.5,0.5,13.5,15,1,0.2440668
12.5,0.5,13.5,15,1.5,0.3744994
12.5,0.5,14,15,1.5,0.326919
12,0.5,14,15,1.5,0.3114351
12,0.5,14.5,15,1.5,0.3184776
12.5,0.5,14.5,15,1.5,0.3049619
12.5,0.5,14.5,15.5,1.5,0.3156579
12.5,0.5,14.5,15,1.5,0.3815615
13,0.5,14.5,15,1.5,0.3726558
13,0.5,14,15,1.5,0.4303201
13,0.5,14,15.5,1.5,0.3795203
13,0.5,14,15,1.5,0.3747117
13,1,14,15,1.5,0.3121098
13,1,14,15,2,0.3709974
13,0.5,14,15,2,0.3727797
13,1,14,15,2,0.2455254
13,1,14,15,2.5,0.3692357
13,1,14,15,2,0.3742431
13,0.5,14,15,2,0.3022644
13,0,14,15,2,0.3218562
13,0,13.5,15,2,0.3769571
12,4,17,19,2,0.2508773
11.5,4,17,19,2,0.3729963
11.5,3.5,17,19,2,0.3807892
11.5,3.5,17,19.5,2,0.3871816
11,3.5,17,19.5,2,0.3163289
11,3.5,17,20,2,0.3261526
11.5,3.5,17,20,2,0.3193068
11.5,3.5,16.5,20,2,0.3133965
11.5,3.5,16,20,2,0.3048054
11,3.5,16,20,2,0.3126822
11,3.5,16,19.5,2,0.3090633
10.5,3.5,16,19.5,2,0.3068475
10.5,3.5,16.5,19.5,2,0.3760362
10.5,3.5,16,19.5,2,0.330676
10.5,3.5,16,19.5,1.5,0.3121077
10.5,3.5,16,19.5,2,0.3678128
10.5,3.5,15.5,19.5,2,0.3141722
11,3.5,15.5,19.5,2,0.3787326
11,3.5,15,19.5,2,0.3257052
11,4,15,19.5,2,0.2488391
11,4,15,19.5,1.5,0.3180668
11.5,4,15,19.5,1.5,0.3171642
11.5,4,15,19,1.5,0.3070548
11.5,4,15,19,1,0.3774133
11.5,4.5,15,19,1,0.3119662
11.5,4.5,15,19,0.5,0.3695903
11.5,5,15,19,0.5,0.3813817
11.5,5,15,18.5,0.5,0.3278142
12,5,15,18.5,0.5,0.3109576
12.5,5,15,18.5,0.5,0.3164443
12,5,15,18.5,0.5,0.3764483
12,5,15,18,0.5,0.3139527
12,4.5,15,18,0.5,0.3592332
12,4.5,15,17.5,0.5,0.3316883
12,4.5,14.5,17.5,0.5,0.3184375
12,4.5,14,17.5,0.5,0.3291451
12,4.5,14,17.5,0,0.25721
12,5,14,17.5,0,0.3021694
12.5,5,14,17.5,0,0.3754514
12.5,5.5,14,17.5,0,0.2637837
11,3,16,17,2,0.3673666
11,3,16,17.5,2,0.3638968
11,3,16,17.5,2.5,0.3761426
11,3,16,17,2.5,0.3107512
