av,al,co,se,ta,tcost
1,-2.4,9.5,11.5,-1,0.4586335
1,-2.4,9.5,12,-1,0.4459762
1,-2.4,9.5,12,-1.5,0.4062993
1,-2.4,9.5,12,-2,0.4583494
1.5,-2.4,9.5,12,-2,0.4157156
1.5,-2.4,9.5,12.5,-2,0.4578331
1.5,-2.4,9.5,12.5,-1.5,0.4996193
2,-2.4,9.5,12.5,-1.5,0.4363387
2,-2.4,9.5,12.5,-2,0.4440525
2,-2.4,10,12.5,-2,0.4559028
2,-2.4,10,12.5,-1.5,0.415644
2,-2.4,10,12.5,-1,0.4126027
2,-2.4,10,12.5,-1.5,0.3991328
2,-2.4,9.5,12.5,-1.5,0.5066233
2,-2.4,9.5,12,-1.5,0.4666282
2.5,-2.4,9.5,12,-1.5,0.4627102
2.5,-2.4,9.5,12.5,-1.5,0.4469527
2.5,-2.4,9.5,12.5,-1,0.4476199
2.5,-2.4,9.5,12.5,-0.5,0.4808922
2.5,-2.4,9,12.5,-0.5,0.4691366
2.5,-2.4,9.5,12.5,-0.5,0.491438
2.5,-2.4,9,12.5,-0.5,0.4329277
2.5,-1.9,9,12.5,-0.5,0.5016826
2.5,-1.9,9,12,-0.5,0.4806389
2.5,-1.9,9,11.5,-0.5,0.4391926
2.5,-1.4,9,11.5,-0.5,0.4449676
2.5,-1.4,9,12,-0.5,0.5040444
2.5,-0.9,9,12,-0.5,0.4794142
2.5,-0.9,9,11.5,-0.5,0.461991
2.5,-0.4,9,11.5,-0.5,0.4916734
2,-0.4,9,11.5,-0.5,0.4236342
2,-0.9,9,11.5,-0.5,0.4541652
2,-0.9,9,12,-0.5,0.4934133
2,-0.9,8.5,12,-0.5,0.4618319
2,-0.9,8.5,12,0,0.4592012
2,-0.9,8.5,11.5,0,0.4566652
2,-0.9,8.5,11.5,-0.5,0.3849109
2,-0.9,8.5,11,-0.5,0.4285247
1.5,-0.9,8.5,11,-0.5,0.410812
1.5,-0.9,8.5,11.5,-0.5,0.4505855
1.5,-0.4,8.5,11.5,-0.5,0.3978897
1.5,-0.9,8.5,11.5,-0.5,0.4983518
2,-0.9,8.5,11.5,-0.5,0.4900432
2,-0.4,8.5,11.5,-0.5,0.4474926
2,-0.4,8.5,11.5,-1,0.4009637
2,-0.4,9,11.5,-1,0.4722283
2,-0.4,8.5,11.5,-1,0.4604507
2,-0.4,8.5,11.5,-0.5,0.4624966
1.5,-0.4,8.5,11.5,-0.5,0.4958886
1.5,-0.9,8.5,11.5,-0.5,0.4767711
1.5,-1.4,8.5,11.5,-0.5,0.4857075
1.5,-0.9,8.5,11.5,-0.5,0.4635859
1,-0.9,8.5,11.5,-0.5,0.4134792
1,-0.9,9,11.5,-0.5,0.4544884
1,-0.9,9,12,-0.5,0.4957834
1,-0.9,9,12,0,0.4923499
1,-1.4,9,12,0,0.4482832
1,-1.4,9,11.5,0,0.4599289
0.5,-1.4,9,11.5,0,0.4421337
1,-1.4,9,11.5,0,0.4713845
0.5,-1.4,9,11.5,0,0.4301858
0.5,-0.9,9,11.5,0,0.500666
0.5,-1.4,9,11.5,0,0.4552219
0.5,-1.4,8.5,11.5,0,0.4671388
0.5,-1.4,8.5,11.5,-0.5,0.4500198
0.5,-1.4,8.5,11,-0.5,0.4757248
0.5,-1.9,8.5,11,-0.5,0.484593
0.5,-2.4,8.5,11,-0.5,0.4448588
0.5,-2.4,8.5,10.5,-0.5,0.487309
0.5,-2.4,9,10.5,-0.5,0.4352416
0.5,-2.4,9,11,-0.5,0.4442949
0.5,-1.9,9,11,-0.5,0.4737068
0.5,-1.9,9,10.5,-0.5,0.4861077
0.5,-1.9,9,11,-0.5,0.4637222
0.5,-1.4,9,11,-0.5,0.4274484
0.5,-1.4,8.5,11,-0.5,0.4249778
0.5,-1.4,8,11,-0.5,0.4437214
1,-1.4,8,11,-0.5,0.4548159
1,-1.4,8.5,11,-0.5,0.4328022
1,-1.4,8.5,11,0,0.4335324
1,-1.4,8.5,11.5,0,0.4632087
0.5,-1.4,8.5,11.5,0,0.4605216
0.5,-1.4,8.5,12,0,0.4736981
0.5,-1.4,9,12,0,0.486369
0.5,-1.4,9.5,12,0,0.4422115
0.5,-1.4,9,12,0,0.4708515
0,-1.4,9,12,0,0.3792365
0,-1.4,9.5,12,0,0.4930732
0,-1.4,10,12,0,0.4387169
0.5,-1.4,10,12,0,0.4542394
0.5,-1.4,9.5,12,0,0.4798446
0.5,-1.4,9.5,12.5,0,0.4679903
0.5,-1.9,9.5,12.5,0,0.5105816
0.5,-1.4,9.5,12.5,0,0.4509913
0.5,-1.4,9.5,12.5,-0.5,0.3881708
0.5,-1.4,9.5,13,-0.5,0.456439
0.5,-1.9,9.5,13,-0.5,0.4572817
0,-1.9,9.5,13,-0.5,0.5034247
0,-1.9,10,13,-0.5,0.4009691
0,-1.4,10,13,-0.5,0.4759975
0,-1.4,10,13.5,-0.5,0.4963177
0,-1.4,10,14,-0.5,0.4399023
